,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.state,name,referralId
0,"[{'id': '4c38df4de52ce0d596b336e1', 'name': 'Parking', 'pluralName': 'Parking', 'shortName': 'Parking', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/parking_', 'suffix': '.png'}, 'primary': True}]",False,4c14460aa5eb76b04590c1b7,美浜区豊砂3-1,JP,千葉市,日本,,17284,"['美浜区豊砂3-1', '千葉市, 千葉県', '261-0024', '日本']","[{'label': 'display', 'lat': 35.65014768081253, 'lng': 140.03053665161133}]",35.65014768081253,140.03053665161133,千葉県,幕張メッセ駐車場 P1,v-1565409051
1,"[{'id': '4bf58dd8d48988d1e0941735', 'name': 'Harbor / Marina', 'pluralName': 'Harbors / Marinas', 'shortName': 'Harbor / Marina', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/harbor_', 'suffix': '.png'}, 'primary': True}]",False,4f40467ae4b0102f0d5f06b9,新砂3丁目,JP,江東区,日本,,304,"['新砂3丁目', '江東区, 東京都', '日本']","[{'label': 'display', 'lat': 35.65434459825511, 'lng': 139.84227951331852}]",35.65434459825511,139.84227951331852,東京都,新砂リバーステーション,v-1565409051
2,"[{'id': '58daa1558bbb0b01f18ec1ac', 'name': 'Waste Facility', 'pluralName': 'Waste Facilities', 'shortName': 'Waste Facility', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",False,4e222ae822717a5245d32630,夢の島3-1-1,JP,東京,日本,,775,"['夢の島3-1-1', '江東区, 東京都', '136-0081', '日本']","[{'label': 'display', 'lat': 35.647819984551035, 'lng': 139.83352623925072}]",35.647819984551035,139.83352623925072,東京都,新江東清掃工場,v-1565409051
3,"[{'id': '4bf58dd8d48988d1df941735', 'name': 'Bridge', 'pluralName': 'Bridges', 'shortName': 'Bridge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/bridge_', 'suffix': '.png'}, 'primary': True}]",False,4bd8555235aad13a7c9390f3,新木場4/夢の島3/臨海町1/臨海町6,JP,,日本,荒川,887,"['新木場4/夢の島3/臨海町1/臨海町6 (荒川)', '江東区/江戸川区, 東京都', '日本']","[{'label': 'display', 'lat': 35.64720020158448, 'lng': 139.84642102509903}]",35.64720020158448,139.84642102509903,東京都,荒川河口橋,v-1565409051
4,"[{'id': '56aa371be4b08b9a8d57353b', 'name': 'Canal Lock', 'pluralName': 'Canal Locks', 'shortName': 'Canal Lock', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/bridge_', 'suffix': '.png'}, 'primary': True}]",False,4f1ccdf50cd67469c7b9e642,夢の島3/新砂3,JP,東京,日本,砂町運河,390,"['夢の島3/新砂3 (砂町運河)', '江東区, 東京都', '日本']","[{'label': 'display', 'lat': 35.65234930091306, 'lng': 139.83520121186115}]",35.65234930091306,139.83520121186115,東京都,新砂水門,v-1565409051
5,"[{'id': '4bf58dd8d48988d129951735', 'name': 'Train Station', 'pluralName': 'Train Stations', 'shortName': 'Train Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/trainstation_', 'suffix': '.png'}, 'primary': True}]",False,535ac87611d2d5f9d8bc1606,丸の内1-9-1,JP,千代田区,日本,,7296,"['丸の内1-9-1', '千代田区, 東京都', '100-0005', '日本']","[{'label': 'display', 'lat': 35.67772716044116, 'lng': 139.76484775543213}]",35.67772716044116,139.76484775543213,東京都,JR京葉線 東京駅,v-1565409051
6,"[{'id': '4f4531504b9074f6e4fb0102', 'name': 'Platform', 'pluralName': 'Platforms', 'shortName': 'Platform', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/trainstation_', 'suffix': '.png'}, 'primary': True}]",False,4eea7222f9ab8fc95f240e49,丸の内1-9-1,JP,東京,日本,JR東京駅 京葉線/武蔵野線,7292,"['丸の内1-9-1 (JR東京駅 京葉線/武蔵野線)', '千代田区, 東京都', '100-0005', '日本']","[{'label': 'display', 'lat': 35.677647532482055, 'lng': 139.7648480527956}]",35.677647532482055,139.7648480527956,東京都,Keiyo Underground Platforms 1-2 (京葉地下1-2番線ホーム),v-1565409051
7,"[{'id': '4bf58dd8d48988d1df941735', 'name': 'Bridge', 'pluralName': 'Bridges', 'shortName': 'Bridge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/bridge_', 'suffix': '.png'}, 'primary': True}]",False,4e8645bad5fb2ee2eed76f4d,臨海町 / 新木場,JP,,日本,首都高湾岸線,515,"['臨海町 / 新木場 (首都高湾岸線)', '江戸川区 / 江東区, 東京都', '日本']","[{'label': 'display', 'lat': 35.64830911522108, 'lng': 139.84072654826994}]",35.64830911522108,139.84072654826994,東京都,荒川湾岸橋,v-1565409051
8,"[{'id': '56aa371be4b08b9a8d573562', 'name': 'Canal', 'pluralName': 'Canals', 'shortName': 'Canal', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/river_', 'suffix': '.png'}, 'primary': True}]",False,4ed1d5a477c8ea62fddf261c,,JP,東京,日本,,390,"['江東区, 東京都', '日本']","[{'label': 'display', 'lat': 35.652371439694086, 'lng': 139.83520111871425}]",35.652371439694086,139.83520111871425,東京都,砂町運河,v-1565409051
9,"[{'id': '4eb1d4dd4b900d56c88a45fd', 'name': 'River', 'pluralName': 'Rivers', 'shortName': 'River', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/river_', 'suffix': '.png'}, 'primary': True}]",False,4f9e275ce4b03d83ee0119b3,新砂,JP,江東区,日本,,310,"['新砂', '江東区, 東京都', '日本']","[{'label': 'display', 'lat': 35.65443459659575, 'lng': 139.84228239473276}]",35.65443459659575,139.84228239473276,東京都,荒川河口から0km(右岸),v-1565409051
