,name,categories,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,state,id
0,幕張メッセ駐車場 P1,Parking,美浜区豊砂3-1,JP,千葉市,日本,,17284,"['美浜区豊砂3-1', '千葉市, 千葉県', '261-0024', '日本']","[{'label': 'display', 'lat': 35.65014768081253, 'lng': 140.03053665161133}]",35.65014768081253,140.03053665161133,千葉県,4c14460aa5eb76b04590c1b7
1,新砂リバーステーション,Harbor / Marina,新砂3丁目,JP,江東区,日本,,304,"['新砂3丁目', '江東区, 東京都', '日本']","[{'label': 'display', 'lat': 35.65434459825511, 'lng': 139.84227951331852}]",35.65434459825511,139.84227951331852,東京都,4f40467ae4b0102f0d5f06b9
2,新江東清掃工場,Waste Facility,夢の島3-1-1,JP,東京,日本,,775,"['夢の島3-1-1', '江東区, 東京都', '136-0081', '日本']","[{'label': 'display', 'lat': 35.647819984551035, 'lng': 139.83352623925072}]",35.647819984551035,139.83352623925072,東京都,4e222ae822717a5245d32630
3,荒川河口橋,Bridge,新木場4/夢の島3/臨海町1/臨海町6,JP,,日本,荒川,887,"['新木場4/夢の島3/臨海町1/臨海町6 (荒川)', '江東区/江戸川区, 東京都', '日本']","[{'label': 'display', 'lat': 35.64720020158448, 'lng': 139.84642102509903}]",35.64720020158448,139.84642102509903,東京都,4bd8555235aad13a7c9390f3
4,新砂水門,Canal Lock,夢の島3/新砂3,JP,東京,日本,砂町運河,390,"['夢の島3/新砂3 (砂町運河)', '江東区, 東京都', '日本']","[{'label': 'display', 'lat': 35.65234930091306, 'lng': 139.83520121186115}]",35.65234930091306,139.83520121186115,東京都,4f1ccdf50cd67469c7b9e642
5,JR京葉線 東京駅,Train Station,丸の内1-9-1,JP,千代田区,日本,,7296,"['丸の内1-9-1', '千代田区, 東京都', '100-0005', '日本']","[{'label': 'display', 'lat': 35.67772716044116, 'lng': 139.76484775543213}]",35.67772716044116,139.76484775543213,東京都,535ac87611d2d5f9d8bc1606
6,Keiyo Underground Platforms 1-2 (京葉地下1-2番線ホーム),Platform,丸の内1-9-1,JP,東京,日本,JR東京駅 京葉線/武蔵野線,7292,"['丸の内1-9-1 (JR東京駅 京葉線/武蔵野線)', '千代田区, 東京都', '100-0005', '日本']","[{'label': 'display', 'lat': 35.677647532482055, 'lng': 139.7648480527956}]",35.677647532482055,139.7648480527956,東京都,4eea7222f9ab8fc95f240e49
7,荒川湾岸橋,Bridge,臨海町 / 新木場,JP,,日本,首都高湾岸線,515,"['臨海町 / 新木場 (首都高湾岸線)', '江戸川区 / 江東区, 東京都', '日本']","[{'label': 'display', 'lat': 35.64830911522108, 'lng': 139.84072654826994}]",35.64830911522108,139.84072654826994,東京都,4e8645bad5fb2ee2eed76f4d
8,砂町運河,Canal,,JP,東京,日本,,390,"['江東区, 東京都', '日本']","[{'label': 'display', 'lat': 35.652371439694086, 'lng': 139.83520111871425}]",35.652371439694086,139.83520111871425,東京都,4ed1d5a477c8ea62fddf261c
9,荒川河口から0km(右岸),River,新砂,JP,江東区,日本,,310,"['新砂', '江東区, 東京都', '日本']","[{'label': 'display', 'lat': 35.65443459659575, 'lng': 139.84228239473276}]",35.65443459659575,139.84228239473276,東京都,4f9e275ce4b03d83ee0119b3
10,Shin-Kiba Station (新木場駅),Train Station,新木場1,JP,江東区,日本,,1387,"['新木場1', '江東区, 東京都', '136-0082', '日本']","[{'label': 'display', 'lat': 35.64602, 'lng': 139.82663}]",35.64602,139.82663,東京都,4b4162b1f964a52016c625e3
11,新左近川水門,Canal Lock,臨海町1,JP,東京,日本,新左近川/荒川,1022,"['臨海町1 (新左近川/荒川)', '江戸川区, 東京都', '日本']","[{'label': 'display', 'lat': 35.654356259314206, 'lng': 139.85062211751938}]",35.654356259314206,139.85062211751938,東京都,4f1ccc910cd67469c7b9bff6
12,清新町 健康の道,River,,JP,,日本,,1378,['日本'],"[{'label': 'display', 'lat': 35.66054254542438, 'lng': 139.8514047568369}]",35.66054254542438,139.8514047568369,,4fa45dbde4b039aeea975d2e
13,夢の島緑道公園,Park,夢の島1丁目/夢の島2丁目/夢の島緑道公園,JP,江東区,日本,,630,"['夢の島1丁目/夢の島2丁目/夢の島緑道公園', '江東区, 東京都', '日本']","[{'label': 'display', 'lat': 35.64743043908992, 'lng': 139.83736439573582}]",35.64743043908992,139.83736439573582,東京都,4ccd24cb566aa093053c26fd
14,AEON PET (イオンペット),Pet Store,,JP,,日本,,1359,['日本'],"[{'label': 'display', 'lat': 35.64896956760029, 'lng': 139.8252160778118}]",35.64896956760029,139.8252160778118,,519a0caf498e53015fabe3d0
15,東部スラッジプラント,Factory,新砂3-8-1,JP,江東区,日本,,382,"['新砂3-8-1', '江東区, 東京都', '136-0075', '日本']","[{'label': 'display', 'lat': 35.65625887375148, 'lng': 139.8397672176361}]",35.65625887375148,139.8397672176361,東京都,4df47b4e62e1288ed307ac46
16,荒川サイクリングロード河口,River,新砂3丁目,JP,江東区,日本,,297,"['新砂3丁目', '江東区, 東京都', '日本']","[{'label': 'display', 'lat': 35.65426717554989, 'lng': 139.84225481863575}]",35.65426717554989,139.84225481863575,東京都,4f93685ce4b0aed81fa43e2c
17,新砂運動場 サッカー場,Soccer Field,,JP,江東区,日本,,496,"['江東区, 東京都', '136-0075', '日本']","[{'label': 'display', 'lat': 35.6567, 'lng': 139.83675}]",35.6567,139.83675,東京都,5ca9d8d7061b51002c508b44
18,東京メトロ新木場駅 お忘れ物取扱所,Metro Station,,JP,江東区,日本,,1421,"['江東区, 東京都', '日本']","[{'label': 'display', 'lat': 35.645815, 'lng': 139.826344}]",35.645815,139.826344,東京都,58bcadea61052870f454229f
19,Shinkiba Exit (新木場出入口),Toll Booth,新木場1,JP,江東区,日本,首都高速湾岸線,849,"['新木場1 (首都高速湾岸線)', '江東区, 東京都', '136-0082', '日本']","[{'label': 'display', 'lat': 35.646972029698574, 'lng': 139.83345866203308}]",35.646972029698574,139.83345866203308,東京都,4c46d5f134999c74a0f900fd
